"rank","drug","substance","event","peak_eb05","adj_eb05","n_methods_flagged","quarters","first_signal","latest_signal","first_approval","years_on_market","atc_class","triage","triage_reason","watch"
899,"jaydess","intrauterine contraceptive device;levonorgestrel","Ectopic pregnancy with contraceptive device",4949.67,4949.67,4,16,"2017Q4","2022Q1",,,"","","",""
900,"pacerone","amiodarone","Pulmonary toxicity",4949.43,4949.43,3,1,"2019Q4","2019Q4",,,"Antiarrhythmics, class III","","",""
901,"pyrazinamide","pyrazinamide","Hepatitis toxic",4943.19,4943.19,4,2,"2022Q2","2022Q3","1982-01-01",44.3,"Other drugs for treatment of tuberculosis","","",""
902,"dextenza","dexamethasone","Corneal disorder",4939.82,4939.82,4,3,"2019Q4","2020Q2","1982-01-01",44.3,"Corticosteroids for local oral treatment","","",""
903,"prograf","tacrolimus","Immunosuppressant drug level increased",4938.29,4938.29,4,26,"2015Q3","2024Q4","1994-04-08",32,"Agents for dermatitis, excluding corticosteroids","","",""
904,"valchlor","chlormethine","Cutaneous T-cell lymphoma",4936.36,4936.36,4,4,"2021Q4","2024Q4",,,"Nitrogen mustard analogues","","",""
905,"septocaine and epinephrine","articaine;epinephrine","Injection site ulcer",4932.5,4932.5,3,3,"2017Q3","2018Q1",,,"","","",""
906,"antihemophilic factor pegylated human sequence recombinant",,"Muscle haemorrhage",4932.01,4932.01,4,4,"2018Q1","2018Q4",,,"Other antineoplastic agents (cont.)","","",""
907,"omnitrope","somatropin","Lipoma",4918.41,4918.41,3,1,"2013Q4","2013Q4",,,"Somatropin and somatropin agonists","","",""
908,"dolutegravir sodium","dolutegravir","Syphilis",4904.2,4904.19,4,2,"2021Q2","2021Q3","2013-08-12",12.7,"Integrase inhibitors","","",""
909,"parathyroid hormone","parathyroid hormone","Recalled product",4904.05,4904.05,4,21,"2017Q1","2022Q3",,,"Parathyroid hormones and analogues","","",""
910,"sensodyne rapid relief","fluorine","Gingival pain",4903.04,4903.04,3,2,"2018Q4","2019Q1",,,"","","",""
911,"diprivan","propofol","Airway complication of anaesthesia",4901.9,4901.9,3,1,"2024Q4","2024Q4","1989-10-02",36.6,"Other general anesthetics","","",""
912,"diprivan","propofol","Use of accessory respiratory muscles",4901.9,4901.9,3,1,"2024Q4","2024Q4","1989-10-02",36.6,"Other general anesthetics","","",""
